Id,Domain,Group Title,KDB_Titel,Description_NL,Comments for Operators NL
608,Payment Means RCB,Rekening: Liquidatie / Liquidation,Centralisatierekening afsluiten,"
 
Een centralisatierekening (zicht- of spaarrekening) kan niet geschrapt worden zolang de link actief is.
 
Oplossing (gratis + enkel mogelijk in agentschap)
Centralisatie wijzigen naareen ander (of goedkoper) type rekening met minder dienstverlening.
Gekoppeld product afsluiten
Arco: in afwachting van vereffening
Pensioenspaarrekening of effectendossier: de klant moet een afspraak maken bij de beleggingsspecialist:
tijdens de openingsuren van het domicilieagentschap, oproep doorschakelen naar 19+CI (5 cijfers)buiten de openingsuren kan de klant een afspraak vragen via onze website
Wanneer er geen link meer is, wordt het een ""gewone"" zicht- of spaarrekening. Procedure liquidatie verschilt naargelang het saldo: zie linken
Saldo > 25 euro
Saldo < 25 euro of negatief
 ",
610,Payment Means RCB,Rekening: Saldo - Historiek / Solde - Historique,"Saldo, beschikbaar bedrag en historiek rekening","


Voor de klant die een saldo / historiek / beweging vraagt:
 
1. Controleer en / of stel ALTIJD alternatieve kanalen voor.
2. Registreer de oproep in ServiceCenter.
3. Stuur eventueel een folder / mail (bij voorkeur).
4. Creëer het contract Direct Alert.
5. We geven geen financiële informatie !
6. In functie van het gekozen kanaal, activeer volgens procedure via onderstaande link.
7. Als laatste redmiddel kunnen we de klant doorschakelen naar de juiste optie van de VRU.
 
 
Uitzondering: Private of toestemming van supervisor, maar eerst alternatieve kanalen voorstellen.
 
 
Link Library: Printscreens aanvraag BDA via Foxe.docx 
 
Link Library:Saldo briefing NL.pptx
 
Link Library:Saldo script NL.pptx
 
Link Library:Belfius Direct Alert consultatie contract en alerts.docx
 
Link KDB :Aanvraag nieuw contract Belfius Direct Phone
 
Link KDB :Aanvraag nieuw contract Belfius Direct Alert
 
Link KDB : Aanvraag nieuw contract Belfius Direct Net  
 
 
 ","
​"
617,Payment Means RCB,Debetkaart: Blokkering - deblokkering / Carte de débit: Blocage - déblocage,Debetkaart : Verzet / blokkeren ,"



Verzet : buiten flow BAC (Klant Worden)


Blokkering
 
Is de kaart gestolen of verloren? De klant moet Card Stop bellen of faxen om de kaart te blokkeren.
Aan de telefoon kunnen wij geen kaarten blokkeren via Belfius Contact buiten flow BAC !
 
Opgelet: voor 091-rekeningen dient de blokkering en vervanging van de kaart steeds te gebeuren via Card Stop

De klant kan ook zijn kaart laten blokkeren via het agenstchap :

Werkwijze agentschap in FOXE  : Betaalmiddelen>Kaarten>Debetkaarten>Beheren.

 
Werkwijze agentschap indien Fotokaart gewenst 
 
Na het aanvragen van de nieuwe kaart komt u op het hoofdscherm van de debetkaarttoepassing waar uw aanvraag van een nieuwe kaart op een bijkomende lijn geregistreerd staat. Volg dan volgende procedure om deze aanvraag van nieuwe kaart als Fotokaart te laten doorgaan:
 

Stap
Actie
 
1
Selecteer de lijn met de aanvraag van nieuwe kaart
2
Selecteer de functie 'Wijzigen'
3
Vink de zone 'Fotokaart' aan en valideer.
4
U komt terug op het hoofdscherm waar nu nog een bijkomende aanvraaglijn staat geregistreerd
5
De klant moet nu binnen de 5 BWD zijn foto registreren viawww.belfius.be/fotokaart,www.belfiusjong.be of Belfius Direct Net . Indien dit niet binnen de 5 BWD gebeurt gaat de aanvraag door met standaardlayout

Werkwijze agentschap indien Instant Card gewenst

Wil de klant sneller een nieuwe debetkaart ? Men kan in eender welk agentschap eenInstant kaart krijgen. (voor de kosten : zie defiches ""Tarieven & rentevoeten"" op onze website). 

 

Bij elke aanvraag van een vervanging na verzet, kunt u kiezen tussen een gewoon duplicaat of een Instant Card. Bij het valideren van een vervanging door een Instant Card, komt u automatisch in het affectatiescherm van de Instant Card. Ook indien de kaart reeds geblokkeerd werd door Card Stop, is een vervanging van de geblokkeerde kaart door een Instant Card mogelijk. Deze aanvraag van een Instant Card schrapt dan de automatische vervanging van Card Stop. 
 
De toepassing deelt automatisch een kaartnummer mee van een kaart die is opgenomen in de stock Instant Cards van het kantoor. Het meegedeelde kaartnummer is er één van dezelfde taalcode als die van de rekening. U hebt de mogelijkheid de taalcode aan te passen, het toe te wijzen kaartnummer wordt dan ook automatisch aangepast.
 
Na validatie van de toewijzing kan de klant onmiddellijk een Pin-setting uitvoeren en de kaart gebruiken.
 
Instant Card: algemene info
 
Opgelet! Indien de te vervangen kaart een Fotokaart is, dan moet de klant achteraf een nieuwe foto opladen indien hij terug over een Fotokaart wenst te beschikken. De klant wordt hiervoor dan ook getarifeerd.
 
Een blokkering op een debetkaart annuleren :
 
Een blokkering is in principe definitief en onherroepelijk. (Uitleg : een verzet op een kaart kan nog geannuleerd worden in FOXE dezelfde dag voor de batchverwerking om 17u30 : enkel in  agentschap). Dat moet een uitzondering blijven!
 
Nieuwe kaart en code
 

Na blokkering zorgt Card Stop automatisch een nieuwe kaart besteld. Een nieuwe code zal moeten gebruikt worden . Verzending van de code: ofwel Pin via SMS ofwel Pinsetting via het kantoor.
 

Indien deklant geen vervanging wenst, moet men dit duidelijk zeggen tijdens de oproep naar Card Stop. Dit betekent niet dat men de dienst ""debetkaart"" annuleert. Dat is enkel mogelijk op basis van een handtekening door de klant in agentschap.
 
De creatie van een nieuwe kaart na verzet is gratis.
 
Uitzondering: De aanmaak van een nieuwe debetkaart verbonden aan een Classic, Pulse of Pulse White-rekening is betalend (7,5 EUR) na een verzet/vervanging, behalve voor verzet na niet-ontvangst & skimming.
 
 
 
Verzending
 
Volgens de laatste parameters in Foxe 
 
- De nieuwekaart is ten vroegste na 3 à 4 bankwerkdagen verstuurd naar het verzendingsadres : (ofwel het domicilieadres, ofwel naar het agentschap of nnar een ander verzendingsadres).

- Voor de geheim code : ofwel Pinsetting in het agentschap ofwel Pin via SMS.

 
Opm:klant heeft een sociale rekening of een afnamerekening:  
De nieuwekaart zal ten vroegste na 1 week beschikbaar zijn bij de sociale dienst of OCMW die de rekening beheert. Bij dit soort rekeningen is opvolging via gsm of Instant Card niet mogelijk
 
Voor meer info ivm het verzendingadres van de kaart en de code: zie link KDBLevering kaart en pin
 
Zodra de klant een nieuwe bankkaart heeft, kan die opnieuw electronisch bankieren. 
Voor BDN : indien de klant een favoriet gebruikt, moet hij een nieuwe favoriet aanmaken : zie link KDB : BDN: Een favoriet aanmaken voor Belfius Direct Net.
 

Info klant 
 
De aanmaak van een vervangingskaart na verzet wordt bevestigd via een bijlage bij de rekeningafschriften.
 
Op deze bijlage worden de volgende gegevens meegedeeld:aangevraagde dienstenlimietenverzendingsadres

Verzet : flow BAC (Klant Worden)

zie link KDB : RASC : BAC : Welcome Box
 
  ",
618,Payment Means RCB,Debetkaart: Blokkering - deblokkering / Carte de débit: Blocage - déblocage,Debetkaart geblokkeerd wegens invoer 3 verkeerde pincodes,"
 
We mogen geen kaarten normaliseren aan de telefoon, behalve indien:
Klant in het buitenland of ACTIEF segment

Wanneer de klant zich in het buitenland bevindt, stel extra veiligheidsvragen en controleer de historiek om minstens 1 verrichting in het buitenland te vinden.
 
Controleer het segment in Foxe via Personen > Consulteren basisgegevens > Segment:
Actief = Business / Private / Privilege / Account Management / Digital / Fidele. N/A = niet actief.
 
Deblokkering online via Foxe > Betaalmiddelen > Kaarten > Debetkaarten
Rekening selecterenKaart selecterenBeherenNormalisatieVermeld ""kaart genormaliseerd"" in memo.
 


Invoering 3 foutieve codes ingetikt aan een geldautomaat
 

Hiervoor is een ""pinsetting"" vereist in eender welk agentschap.
 
 
Invoering 3 foutieve codes ingetikt op de kaartlezer van Belfius Direct Net = Pin blocked op kaartlezer
 
Link KDB:BDN: Foutboodschap op kaartlezer: Pin blocked
 
 
Blokkering via Card Stop isdefinitief en onherroepelijk. 
De klant krijgt automatisch een nieuwe kaart.
 
 ", 
619,Payment Means RCB,Debetkaart: Vervanging duplicaat / Carte de débit: remplacement duplicata,Ingeslikte debetkaart ,"

Voor niet-Belfius kaarten en voor buitenlandse debetkaarten
De kaarten 2 dagen bijhouden in het agentschap. Indien de kaarthouder zich binnen deze periode aanbiedt in het agentschap de kaart teruggeven na identiteitscontrole.
Indien de kaarthouder zich niet aanbiedt, de kaart vernietigen in agentschap.
Algemeen 
Wanneer een bankkaart wordt ingeslikt door een geldautomaat, wordt ze onmiddellijk geblokkeerd: de kaart dient eerst genormaliseerd te worden alvorens ze terug werkt. De klant ontvangt een gratis sms bericht als wij een (Belgisch) GSM nummer hebben om hem/haar te contacteren.
Op welk netwerk werd de Belfius kaart ingeslikt?
Nakijken via Foxe>Betaalmiddelen>Kaarten>Debetkaarten>Consulteren
Belfius netwerk
Hybridekaarten en klant van het agentschap :
kaart in agentschap houden tot klant zich aanmeldt.
 
Hybridekaarten en klant van een ander agentschap :
indien de klant zich niet heeft aangemeld binnen de 3 bankwerkdagen : vernietig deze zelf in het agentschap
 
Bij overhandiging moet de klant ter plaatse de kaart laten deblokkeren (met een ""pinsetting"" aan het onthaal) en ze onmiddellijk gebruiken.
 


Als het dringend is: kan de klant onmiddellijk een Instant kaart afhalen in eender welk agentschap. 
Ander netwerk


Als de klant dat wil, kunnen we  een duplicaat aanvragen (de pincode blijft dezelfde) :
 Debetkaart: een duplicaat aanvragen   
Als het dringend is: kan de klant onmiddellijk een Instant kaart afhalen in eender welk agentschap.
 
 

De klant is in het buitenland
 
We moeten een verrichting in het buitenland terugvinden in de historiek van de verrichtingen.
 
Wij kunnen een duplicaat (kopie van de kaart) naar het domicilieadres van de klant sturen (de pincode blijft dezelfde).
 
In heel uitzonderlijke gevallen kan de buitenlandse bank, na grondige controle van de identiteits- gegevens, ons via fax of mail een bevestiging vragen voor vrijgave van de debetkaart. (kopie identi- teits kaart + kopie debetkaart)
Mailadres:BO-PAY-Cardman@belfius.be
 
Link InSite :Ingehouden debetkaart  
 
 
 ", 
621,Payment Means RCB,Transactions: Cheques / Chèques,"Duplicaat, kopie cheque (recto / verso)","
 
Tot hoe ver terug in de tijd ?
 
Klant kan een kopie van een cheque vragen tot maximum 10 jaar na de uitbetaling. 


Tarifering

10 EUR per cheque.
 
Procedure aanvraag
 
Belfius-medewerker stuurt een mail naar Info Supply attesten & dossiers (zie contacts) met volgende gegevens:Naam + actor klantRekeningnummer waarmee de cheque werd uitbetaaldBedragDatum afnameRekeningnummer voor betaling kosten
 
Opgelet

Omwille van de discretieplicht wordt slechts een kopie van de voorzijde afgeleverd.
Kopie voor- en achterzijde wordt enkel op basis van een gerechtelijk vonnis of voor andere banken afgeleverd.
Link Belfius.be: Discretieplicht
 ","
Altenatieve oplossing
Foxe openen zonder een CI-nummer invoeren

Profiel BO1798 INFOS BEHEERDER kiezen

Commercieel>Attesten/Aanvragen info Supply->Creatie dossier

Type aanvraag: hier heeft men keuze uit:  kopieën, nazicht en verbeteringen, fusie  rekeningafschriften of andere aanvragen
 

Voor een recuperatiedossier voor de annulatie van een reeds geboekte overschrijving te creëeren:

Kies de volgende opties:

- ""Nazicht/Verbetering"" kiezen
- ""Controle/Verbetering OVS""
- ""Rechtzetting Debet""


Bij het openen van een contact in Foxe in de homepage>tabblad ""Memo"" kan men nadien het dossier opvolgen.

​"
644,Payment Means RCB,Transactions: Cash,Bestelling cash of deviezen om af te halen in agentschap," 
De meest courante deviezen zijn constant in voorraad in agentschap. Indien de klant ze zo verkrijgt wordt de koers van de afname toegepast.

Reservatie: 
15 % van het bestelde bedrag wordt onmiddellijk op de rekening van de klant gereserveerd. Dit bedrag dient als dekking voor eventuele annulatiekosten en vervalt bij de vereffening van het order.
 
Voor afname in EUR: verwijzen naar SSB automaat. Opgelet metverlaagde limieten tegen internetfraude (zie link).
 
 
Procedure
Raad aan om over te schrijven via rekening want het is goedkoper, sneller en veiliger.Als men aandringt, moet de klant zelf de cash/deviezen bestellen via telefoon  en dit minstens 1 week op voorhand. Agentschap zal bevestigen wanneer de klant het geld kan afhalen. Voor deviezen krijgt men de koers van de datum van de bestelling.
 
Uitzondering voor VIP/Private klant
 
Binnen openingsuren agentschapvraag VIP/Private klant in welk agentschap men het cash bedrag wil afhalencontacteer agentschap waar men cash wil ophalen om te zien of zij genoeg cash hebbenis geld beschikbaar: bel VIP/Private klant terug en laat naam contactpersoon wetenindien niet: contacteer hoofdkantoor ster om te zien of zij binnen hun ster aan genoeg cash kunnen geraken. Indien niet: contacteer Cash Center (zie contacts). 
Buiten openingsuren agentschap
Stuur email naar dienst VIP (zie contacts) + relatiegelastigde (naam opzoeken in Foxe via Personen - Specifiek beheren - Contact Mgr).
De klant kan bij terugkeer uit het buitenland zijn overblijvende deviezen in om het even welk agentschap storten op zijn rekening. 
","
 
Opgelet : mogelijk foutmelding in BDN (preventie fraude)
Link:https://applications.dexwired.net/sites/KnowledgeBaseSupport/Lists/Topics/DispCustom.aspx?ID=2790
​"
645,Payment Means RCB,Transactions: Cash,Afgifte kleingeld - muntstukken ter incasso - muntzak (EUR).,"
 
Muntstukken worden niet meer nageteld in het agentschap, maar opgestuurd naar de hoofdzetel ter incasso.Het systeem van ' plastic clips ' (vooraf getelde bedragen, onmiddellijk opvraagbaar) is niet meer beschikbaar.

 
Procedureenkel mogelijk via een agentschapin speciale zakken: alle munten samen in 1 zak (maximum 10 kg)bedrag wordt gestort na telling in het Cash Center (hoofdzetel)kost: 3,72 euro (btw inbegrepen)max. 4 zakken per week / per klantmax. € 3000 per zak 
 Opmerking
 
Vanaf 50 stukken mag de storting geweigerd worden en een afgifte muntstukken moet uitgevoerd worden. ","
Verwerking (transport naar + tellen) via hoofdzetel duurt minstens 2 weken​."
646,Payment Means RCB,Transactions: Internationale overschrijving / Virement international,BIC,"
 
Als onze klant geld verwacht uit het buitenland, moet de opdrachtgever naast het IBAN rekeningnummer (International Bank Account Number) van de begunstigde ook onze ""BIC"" code vermelden. Dit maakt de identificatie van de betrokken bank mogelijk.
 
 
De BIC (Business Identifier Code) van Belfius Bank is GKCCBEBB. Soms wordt deze code anders genoemd:In Groot-Brittannië en Ierland spreekt men van de ""Sort Code""In Frankrijk gebruikt men de term ""RIB"" (Relevé de Identité Bancaire)In andere landen buiten Europa heet deze code ook ""Swift code""
   
   
   
   
   
 ",
647,Payment Means RCB,Transactions: Internationale Cheque / Cheque International,Internationale cheque op rekening storten,"

Storting internationale cheque op rekening in EUR
Via
agentschap 
Tarifering
zie linken

De kosten worden enkel afgehouden op 1 van de 3 cheques indien het totaal de 6.500euro niet overschrijdt. 
 
Uitbetaling of storting internationale cheque in vreemde munt
 
Uitbetaling in vreemde munt is niet mogelijk. Als de klant het bedrag niet wil omwisselen, kan je 
een deviezenrekening openeneen deviezencompartiment aan de zicht- of termijnrekening toevoegen
Tarifering
Voor privé-rekeningen: gratis
Voor rekeningen met professioneel gebruik: een jaarlijks forfait van 7,50 € + BTW

 
Crédit onder voorbehoud
 
Internationale cheques worden steeds ""onder voorbehoud"" op rekening geboekt. Het saldo van de rekening wordt onmiddellijk aangepast, maar het bedrag is niet beschikbaar tot wij het definitief ontvangen van de buitenlandse bank.voor cheques met een maximale tegenwaarde van 6250 EUR: 11 bankwerkdagen vanaf de dag van verzending van de cheque van de zetel naar de betrokken bank;
voor cheques met een tegenwaarde boven 6250 EUR: 14 bankwerkdagen vanaf de dag van verzending van de cheque van de zetel naar de betrokken bank.  
Gratis alternatief
 
Internationale overschrijving in EUR (IBAN rekeningnummer en BIC code GKCCBEBB). Dit is gratis en het geld is onmiddellijk beschikbaar.
 
Link InSite kantorennet:Kosten incasso internationale cheque
Link InSite CVBA:Kosten incasso internationale cheque
 
 ",
